 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,4,3,13,0,28,19,31,69,110,109,110,106,110,140,145,158,253,203,238,286,215,182,141,199,138,120,122,123,70,55,75,37,23,19,8,15,5,0,0,3682,1.17826,0.00636121
10.1.2.2,8,0,9,16,17,25,30,34,29,99,97,140,123,153,173,105,204,251,277,275,198,187,195,161,187,151,159,70,44,75,61,56,43,3,7,6,8,0,4,0,3680,1.17435,0.00636074
10.1.3.2,0,7,0,6,25,23,41,29,46,78,85,127,127,150,118,258,183,295,229,251,202,212,139,171,100,178,145,117,90,63,88,60,18,26,32,15,0,12,0,0,3746,1.17916,0.0061073
10.1.4.2,0,13,9,0,13,36,12,35,40,62,101,94,141,210,205,169,196,160,233,198,259,176,206,224,193,114,120,98,66,95,71,15,24,17,14,14,9,0,11,0,3653,1.17719,0.00653837
10.1.5.2,0,0,7,5,0,28,44,33,57,45,67,61,120,145,221,163,247,259,210,242,222,199,193,237,128,176,127,125,123,49,61,59,21,41,18,7,16,0,3,0,3759,1.17852,0.00635267
10.1.6.2,0,0,12,4,17,0,24,35,46,52,72,88,128,164,187,210,258,245,247,231,204,223,146,200,150,147,135,81,82,51,41,38,42,56,18,13,4,12,0,0,3663,1.17654,0.00648019
10.1.7.2,7,0,0,15,18,12,0,35,66,82,50,92,98,145,199,174,213,193,291,237,262,276,236,178,140,152,92,121,67,54,72,24,38,18,22,15,4,10,0,0,3708,1.17913,0.00644573
10.1.8.2,9,0,10,8,28,18,30,0,87,95,90,80,126,179,177,191,191,292,205,247,150,218,189,163,165,132,91,106,107,96,61,47,23,20,47,9,4,5,0,0,3696,1.17884,0.00653697
10.1.9.2,10,6,0,3,31,24,26,49,0,81,82,97,134,148,158,161,226,233,187,266,243,283,201,168,168,170,115,91,68,79,60,12,31,15,11,12,10,0,5,0,3664,1.18498,0.00612763
10.1.10.2,4,6,10,0,6,7,26,16,43,0,75,111,137,147,148,290,253,233,159,248,223,223,181,197,195,147,137,107,73,70,32,64,29,28,21,13,8,10,0,0,3677,1.18221,0.00636193
10.1.11.2,9,0,9,12,22,43,22,72,64,43,0,98,145,156,178,226,204,210,177,257,158,233,254,167,169,174,150,125,71,80,66,58,21,22,3,13,13,6,4,0,3734,1.18222,0.00656007
10.1.12.2,5,8,5,9,9,37,27,44,51,58,99,0,104,95,177,212,200,251,285,268,239,245,182,216,128,127,125,114,94,61,58,57,29,40,35,14,6,14,0,0,3728,1.18487,0.00628193
10.1.13.2,6,17,0,25,18,26,57,25,43,73,87,109,0,121,197,201,215,181,221,268,240,243,195,162,182,161,126,146,62,106,57,37,43,4,9,19,3,3,0,0,3688,1.18218,0.00679006
10.1.14.2,0,5,11,15,23,25,24,30,79,54,94,112,96,0,132,219,159,230,227,270,321,237,256,161,129,134,129,152,107,75,46,43,49,15,9,22,6,17,5,0,3718,1.18436,0.00629479
10.1.15.2,4,5,16,15,13,28,20,26,38,74,110,113,123,170,0,184,217,244,205,271,215,248,168,272,201,118,133,100,101,61,48,49,26,15,12,0,9,3,3,0,3658,1.17962,0.00637594
10.1.16.2,6,11,5,5,18,50,47,23,71,56,81,118,157,195,224,0,227,253,251,207,214,218,215,227,187,105,93,98,74,65,57,60,18,32,12,8,7,5,9,0,3709,1.18152,0.00643522
10.1.17.2,6,6,0,10,35,44,25,35,41,102,79,96,150,126,189,183,0,200,297,215,254,230,260,202,190,176,96,70,101,75,64,35,31,17,21,9,11,14,6,0,3701,1.18647,0.00645646
10.1.18.2,15,5,15,23,6,18,42,24,41,45,98,89,161,182,152,233,187,0,216,237,256,214,272,235,133,112,162,114,95,66,67,51,44,16,10,0,4,12,6,0,3658,1.18398,0.00661569
10.1.19.2,0,6,9,12,22,30,8,78,57,78,76,103,93,161,120,247,202,198,0,300,223,159,190,226,207,184,156,124,105,108,106,25,24,21,13,22,4,5,0,0,3702,1.18607,0.00663131
10.1.20.2,0,9,3,15,8,16,54,55,81,86,62,108,150,182,181,164,191,214,213,0,273,234,211,221,194,135,183,114,84,42,59,31,15,25,8,27,6,3,0,0,3657,1.18682,0.00646261
10.1.21.2,4,0,14,12,4,23,29,59,79,67,75,139,104,136,248,223,184,190,276,219,0,242,190,221,177,152,149,136,83,84,61,46,45,19,18,0,9,8,3,0,3728,1.18523,0.00625439
10.1.22.2,0,0,10,4,14,55,25,40,73,74,85,134,127,177,179,195,234,233,227,286,256,0,241,215,147,153,100,55,75,67,87,61,42,17,30,17,0,9,3,0,3747,1.18832,0.00650561
10.1.23.2,0,3,18,20,54,48,48,52,70,102,84,88,145,169,144,181,258,254,267,185,300,182,0,192,178,110,157,83,113,58,53,48,15,10,18,14,9,7,3,0,3740,1.18434,0.00634947
10.1.24.2,0,3,22,0,25,28,27,51,50,92,61,87,158,124,195,160,229,234,244,233,234,219,227,0,156,118,121,134,76,80,54,56,35,17,14,12,16,6,4,0,3602,1.18483,0.00644655
10.1.25.2,9,0,11,13,18,11,46,33,80,72,82,116,198,155,147,219,164,218,259,230,223,234,214,208,0,102,175,95,107,83,64,51,33,3,17,0,18,3,6,0,3717,1.18865,0.00645924
10.1.26.2,5,7,0,32,9,16,48,53,61,36,96,76,133,130,160,198,223,256,199,266,276,292,187,207,122,0,133,104,107,106,78,45,46,3,32,9,8,0,3,0,3762,1.18758,0.00653854
10.1.27.2,0,6,8,13,29,22,20,68,47,87,85,95,128,163,174,193,204,209,234,246,291,166,180,209,192,131,0,107,90,53,53,37,49,47,32,19,0,10,4,0,3701,1.18931,0.00615233
10.1.28.2,0,0,7,27,6,36,18,48,57,84,132,84,116,123,147,203,241,292,210,205,234,210,195,185,222,127,159,0,99,58,46,50,27,35,16,3,10,0,0,0,3712,1.18681,0.00616913
10.1.29.2,5,0,23,9,15,13,41,44,41,61,104,116,115,142,145,224,253,238,213,213,232,170,209,204,216,174,105,126,0,70,71,29,59,22,11,5,0,0,3,0,3721,1.18759,0.00648385
10.1.30.2,4,15,4,5,6,11,42,84,61,70,81,128,137,110,217,181,202,199,237,209,266,260,179,180,161,151,187,79,52,0,63,31,41,18,29,12,6,9,5,0,3732,1.18611,0.00652754
10.1.31.2,10,0,5,10,22,9,36,31,65,101,91,82,155,150,208,212,215,201,204,188,251,245,176,171,202,168,119,117,107,62,0,20,22,23,4,0,11,10,0,0,3703,1.18911,0.00631264
10.1.32.2,0,0,16,8,16,32,27,55,40,73,84,125,130,147,171,179,185,255,228,192,259,230,204,188,191,124,132,130,146,42,73,0,34,9,11,15,11,9,0,0,3771,1.19119,0.00654085
10.1.33.2,0,0,10,16,18,57,32,30,40,80,100,89,101,215,198,133,255,187,261,216,186,194,204,266,166,155,133,78,72,61,43,40,0,35,13,6,7,0,0,0,3697,1.1975,0.00640821
10.1.34.2,7,9,0,0,6,26,30,54,27,89,74,131,97,136,184,207,249,220,269,269,202,264,176,144,187,152,116,92,64,51,26,58,10,0,11,9,21,8,0,0,3675,1.19217,0.00654271
10.1.35.2,12,6,6,8,14,24,43,51,67,95,79,106,136,195,146,177,213,141,223,227,249,204,194,159,174,120,125,88,126,90,66,34,32,15,0,14,9,6,3,0,3677,1.19782,0.00645156
10.1.36.2,5,13,0,18,13,26,41,34,42,90,59,102,115,206,179,235,186,191,247,221,173,235,206,175,117,193,120,111,78,76,50,47,39,26,15,0,15,5,0,0,3704,1.19975,0.00638343
10.1.37.2,6,11,3,13,9,32,15,22,47,76,99,78,135,150,158,201,186,171,227,213,290,186,182,192,208,182,141,93,80,50,65,83,28,26,7,33,0,0,5,0,3703,1.19827,0.00662678
10.1.38.2,4,0,9,4,14,20,32,33,48,72,93,97,96,155,258,147,155,201,230,221,243,203,192,193,162,136,199,112,100,67,45,54,34,24,0,18,10,0,0,0,3681,1.19778,0.00651084
10.1.39.2,3,4,9,7,25,27,25,60,45,65,118,128,93,105,169,151,233,262,202,177,236,254,180,186,205,135,154,94,87,72,58,45,35,35,12,3,3,6,0,0,3708,1.19839,0.00612808
10.1.40.2,4,0,0,13,19,37,6,42,43,94,87,90,107,102,112,179,183,231,260,250,273,199,210,199,153,114,134,105,119,77,46,53,29,22,24,7,3,7,3,0,3636,1.20019,0.00625416
"Total de hormigas enviadas",147998
"Suma de las medias de los tiempos",47.4582
"Media de las medias de los tiempos",1.18646
"Varianza de las varianzas de los tiempos",2.30634e-08